rate,ct_dst_src_ltm,ct_srv_dst,label
7.41E-05,0,0,0
7.85E-05,0.015625,0.081967213,0
1.42E-05,0.03125,0.081967213,0
1.37E-05,0.03125,0,0
3.34E-05,0.609375,0.62295082,0
3.94E-05,0.609375,0.62295082,0
2.67E-05,0.609375,0.62295082,0
3.26E-05,0.609375,0.62295082,0
3.13E-05,0.609375,0.62295082,0
5.80E-05,0.609375,0.62295082,0
5.58E-05,0.03125,0.081967213,0
4.25E-05,0.015625,0,0
3.60E-05,0.609375,0.62295082,0
1.71E-05,0.03125,0.032786885,0
2.95E-05,0.609375,0.62295082,0
0.5,0.046875,0,0
2.06E-05,0.609375,0.62295082,0
4.32E-05,0.015625,0.032786885,0
3.87E-05,0.609375,0.62295082,0
3.16E-05,0.609375,0.62295082,0
6.42E-05,0.609375,0.62295082,0
4.44E-05,0,0.032786885,0
2.59E-05,0.015625,0,0
3.34E-05,0.03125,0.081967213,0
1.63E-05,0.609375,0.62295082,0
2.83E-05,0.609375,0.62295082,0
2.64E-05,0.609375,0.62295082,0
3.01E-05,0.046875,0.016393443,0
3.11E-05,0.015625,0.114754098,0
0.08333333,0.03125,0.032786885,0
3.44E-05,0.015625,0,0
5.46E-05,0.046875,0.114754098,0
5.04E-05,0,0.114754098,0
0.040000001,0.015625,0.06557377,0
5.06E-05,0,0.032786885,0
3.86E-05,0.03125,0.016393443,0
0.066666668,0.03125,0.032786885,0
2.17E-05,0.015625,0.081967213,0
4.23E-05,0.015625,0.06557377,0
5.19E-05,0.03125,0,0
4.72E-05,0,0.032786885,0
3.19E-05,0.015625,0.114754098,0
0.125,0,0.016393443,0
4.99E-05,0.046875,0.114754098,0
3.20E-05,0.046875,0.114754098,0
8.45E-05,0.609375,0.114754098,0
2.41E-05,0,0.016393443,0
5.74E-05,0.015625,0,0
4.40E-05,0.015625,0.016393443,0
0.100000002,0.015625,0.032786885,0
3.29E-05,0.03125,0.081967213,0
1.15E-05,0.046875,0.016393443,0
2.45E-05,0.03125,0.06557377,0
7.56E-08,0,0,0
0.041666665,0,0,0
3.90E-05,0,0.016393443,0
5.58E-05,0.046875,0.032786885,0
0,0,0.016393443,0
0,0,0,0
0.09090909,0.015625,0.06557377,0
6.57E-05,0,0.016393443,0
2.50E-05,0,0.016393443,0
2.40E-05,0.03125,0.032786885,0
3.79E-05,0.03125,0,0
6.51E-05,0.046875,0.114754098,0
1.00E-07,0,0.016393443,0
1.00E-07,0,0.016393443,0
5.54E-05,0.03125,0.06557377,0
6.73E-05,0,0.032786885,0
7.14E-08,0,0.016393443,0
4.32E-06,0.015625,0,0
0.09090909,0.609375,0.62295082,0
0.001541192,0.09375,0.163934426,0
0.09090909,0.609375,0.62295082,0
0.100000002,0.609375,0.62295082,0
2.26E-07,0,0,0
0.09090909,0.609375,0.62295082,0
0.100000002,0.609375,0.62295082,0
0.09090909,0.609375,0.62295082,0
0.09090909,0.609375,0.62295082,0
0.09090909,0.609375,0.62295082,0
0.111111107,0.609375,0.62295082,0
0.111111107,0.609375,0.62295082,0
0.100000002,0.609375,0.62295082,0
0.125,0.609375,0.62295082,0
0.09090909,0.609375,0.62295082,0
0.111111107,0.609375,0.62295082,0
0.100000002,0.609375,0.62295082,0
0.111111107,0.609375,0.62295082,0
0.111111107,0.609375,0.62295082,0
0.09090909,0.609375,0.62295082,0
5.76E-05,0.03125,0.016393443,0
0.100000002,0.609375,0.62295082,0
0.001783687,0.078125,0.131147541,0
0.08333333,0.609375,0.62295082,0
0.09090909,0.609375,0.62295082,0
0.100000002,0.609375,0.62295082,0
1.20E-06,0.015625,0.098360656,0
0.09090909,0.96875,1,0
0.09090909,0.96875,1,0
9.17E-07,0.015625,0.06557377,0
0.08333333,0.96875,1,0
0.100000002,0.96875,1,0
1.33E-06,0,0.06557377,0
0.09090909,0.96875,1,0
1.79E-05,0,0.147540984,0
0.100000002,0.96875,1,0
0.100000002,0.96875,1,0
1.64E-06,0.03125,0.016393443,0
0.07142857,0.96875,1,0
0.09090909,0.96875,1,0
1.92E-06,0.03125,0.06557377,0
0.111111107,0.96875,1,0
8.39E-07,0,0,0
0.09090909,0.96875,1,0
0.100000002,0.96875,1,0
0.00149925,0.09375,0.147540984,0
0.09090909,0.96875,1,0
0.003018268,0.046875,0.032786885,0
0.09090909,0.96875,1,0
0.09090909,0.96875,1,0
0.001518638,0.09375,0.147540984,0
0.111111107,0.96875,1,0
0.09090909,0.96875,1,0
0.001776677,0.078125,0.131147541,0
0.100000002,0.96875,1,0
2.41E-05,0.015625,0.06557377,0
0.03030303,0.96875,1,0
0.100000002,0.96875,1,0
3.55E-06,0,0.147540984,0
0.100000002,0.96875,1,0
0.100000002,0.96875,1,0
0.100000002,0.96875,1,0
4.35E-05,0.015625,0,0
0.09090909,0.96875,1,0
0.09090909,0.96875,1,0
0.111111107,0.96875,1,0
9.22E-07,0,0.06557377,0
0.100000002,0.96875,1,0
0.08333333,0.96875,1,0
9.09E-08,0,0,0
0.045454545,0,0,0
0.09090909,0.96875,1,0
0.001595976,0.09375,0.163934426,0
0.09090909,0.96875,1,0
0.00194415,0.09375,0.147540984,0
0.09090909,0.96875,1,0
0.100000002,0.96875,1,0
0.004479522,0.046875,0.032786885,0
5.75E-05,0.0625,0.049180328,0
4.31E-05,0.0625,0.049180328,0
0.001782339,0.078125,0.131147541,0
0.09090909,0.96875,1,0
0.100000002,0.96875,1,0
0.09090909,0.96875,1,0
2.03E-05,0.015625,0.098360656,0
0.08333333,0.96875,1,0
5.05E-06,0.03125,0.098360656,0
0.09090909,0.96875,1,0
0.09090909,0.96875,1,0
5.13E-06,0,0.131147541,0
0.111111107,0.0625,0.016393443,0
9.05E-07,0,0.016393443,0
0.09090909,0.96875,1,0
0.09090909,0.96875,1,0
1.44E-05,0,0.147540984,0
0.09090909,0.96875,1,0
2.31E-05,0.015625,0.032786885,0
8.51E-07,0.03125,0.016393443,0
0.09090909,0.96875,1,0
1.50E-06,0.015625,0.016393443,0
0.100000002,0.96875,1,0
0.09090909,0.96875,1,0
0.001542921,0.09375,0.163934426,0
0.076923078,0.96875,1,0
0.001422219,0.09375,0.147540984,0
0.100000002,0.96875,1,0
0.001524742,0.09375,0.147540984,0
0.111111107,0.046875,0.016393443,0
0.100000002,0.96875,1,0
0.0043939,0,0,0
0.100000002,0.96875,1,0
0.09090909,0.96875,1,0
0.002484005,0.078125,0.131147541,0
0.09090909,0.96875,1,0
0.100000002,0.96875,1,0
0.111111107,0.96875,1,0
